Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,audit_deal_close_date_parsed,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean
Альфа-банк,ACBR,Электронная торговая площадка (ЭТП) ММВБ,05.06.2013,09:41,,,Переговоры,"30,00","100,00%",Полное приобретение,Квазиприватизационная,Параллельная,Внутренняя,,6.2013,,25.06.2013,05.06.2013,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2013-06-05,09:41,2013-06-25,2013-06-05,,,,,3.12.9,2026-03-29T18:04:43.338673+03:00,,164,Альфа-банк,альфа банк,ACBR,ACBR,Электронная торговая площадка (ЭТП) ММВБ,электронная торговая площадка этп ммвб,2013-06-05,,2013-06-25,2013-06-05,09:41,,30.0,100.0,Переговоры,Полное приобретение,Квазиприватизационная,Параллельная
Т-банк (Тинькофф),T,Страховая компания Москва,19.06.2013,,06.08.2013,,Завершена,"2,00","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,6.2013,,,19.10.2013,19.06.2013,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2013-06-19,,2013-10-19,2013-06-19,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.339604+03:00,2013-08-06,165,Т-банк (Тинькофф),т банк тинькофф,T,T,Страховая компания Москва,страховая компания москва,2013-06-19,2013-08-06,2013-10-19,2013-06-19,,,2.0,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
Альфа-банк,ACBR,Главный информационно-вычислительный центр Москвы (ГИВЦ Москвы),16.10.2012,10:46,27.02.2013,,Завершена,,"20,26%",Консолидация,Рыночная,Вертикальная,Внутренняя,2.2013,,,27.02.2013,27.02.2013,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2012-10-16,10:46,2013-02-27,2013-02-27,,,,,3.12.9,2026-03-29T18:04:43.340838+03:00,2013-02-27,166,Альфа-банк,альфа банк,ACBR,ACBR,Главный информационно-вычислительный центр Москвы (ГИВЦ Москвы),главный информационно вычислительный центр москвы гивц москвы,2012-10-16,2013-02-27,2013-02-27,2013-02-27,10:46,,,20.26,Завершена,Консолидация,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,Мясокомбинат Усть-Лабинский,13.02.2013,,,,Завершена,"5,00—10,00","99,99%",Поглощение,Рыночная,Круговая,Внутренняя,1.2013,,,13.10.2013,13.02.2013,Пищевая промышленность,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.961022,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2013-02-13,,2013-10-13,2013-02-13,0.0,2013-02-13,2013-02-13T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.341745+03:00,,167,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Мясокомбинат Усть-Лабинский,мясокомбинат усть лабинский,2013-02-13,,2013-10-13,2013-02-13,,,,99.99,Завершена,Поглощение,Рыночная,Круговая
Альфа-банк,ACBR,Белросбанк,26.11.2012,09:57,19.12.2012,15:28,Завершена,"35,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Импортная,12.2012,,11.2012,17.09.2013,26.11.2012,Финансы / Инвестиции / Страхование / Консалтинг,Беларусь,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2012-11-26,09:57,2013-09-17,2012-11-26,,,,,3.12.9,2026-03-29T18:04:43.347346+03:00,2012-12-19,168,Альфа-банк,альфа банк,ACBR,ACBR,Белросбанк,белросбанк,2012-11-26,2012-12-19,2013-09-17,2012-11-26,09:57,15:28,35.0,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Denizbank,08.06.2012,12:29,01.10.2012,10:10,Завершена,"3 892,67","99,85%",Поглощение,Рыночная,Горизонтальная,Импортная,9.2012,,6.2012,10.10.2012,25.05.2012,Финансы / Инвестиции / Страхование / Консалтинг,Турция,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.764462,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2012-06-08,12:29,2012-10-10,2012-05-25,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.349788+03:00,2012-10-01,169,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Denizbank,denizbank,2012-06-08,2012-10-01,2012-10-10,2012-05-25,12:29,10:10,3892.67,99.85,Завершена,Поглощение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,БНП Париба Восток / Cetelem,18.07.2012,11:53,05.09.2012,14:12,Завершена,н. д.,"70,00%",Покупка,Рыночная,Горизонтальная,Внутренняя,9.2012,6.2011,7.2012,23.10.2012,18.07.2012,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.764462,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2012-07-18,11:53,2012-10-23,2012-07-18,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.352803+03:00,2012-09-05,170,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,БНП Париба Восток / Cetelem,бнп париба восток cetelem,2012-07-18,2012-09-05,2012-10-23,2012-07-18,11:53,14:12,,70.0,Завершена,Покупка,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Базэл аэро,31.10.2011,13:11,22.06.2012,12:46,Завершена,"100,00","19,99%",Участие,Рыночная,Круговая,Внутренняя,6.2012,,10.2011,26.06.2012,26.06.2012,Транспорт,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.200804,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-10-31,13:11,2012-06-26,2012-06-26,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.358922+03:00,2012-06-22,171,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Базэл аэро,базэл аэро,2011-10-31,2012-06-22,2012-06-26,2012-06-26,13:11,12:46,100.0,19.99,Завершена,Участие,Рыночная,Круговая
Сбер (Сбербанк),SBER,Корус Консалтинг СНГ,22.05.2012,,16.05.2012,16:05,Завершена,н. д.,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,5.2012,,,22.05.2012,22.05.2012,Телекоммуникации,"Россия (СЗФО, ЦФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.228639,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2012-05-22,,2012-05-22,2012-05-22,0.0,2012-05-22,2012-05-22T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.363182+03:00,2012-05-16,172,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Корус Консалтинг СНГ,корус консалтинг снг,2012-05-22,2012-05-16,2012-05-22,2012-05-22,,16:05,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Яндекс,YDEX,Seedcamp,27.04.2012,,25.04.2012,11:04,Завершена,н. д.,"<25,00%",Участие,Рыночная,Круговая,Импортная,4.2012,,,28.04.2012,27.04.2012,Финансы / Инвестиции / Страхование / Консалтинг,Великобритания,Телекоммуникации,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2012-04-27,,2012-04-28,2012-04-27,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.367942+03:00,2012-04-25,173,Яндекс,яндекс,YDEX,YDEX,Seedcamp,seedcamp,2012-04-27,2012-04-25,2012-04-28,2012-04-27,,11:04,,,Завершена,Участие,Рыночная,Круговая
Сбер (Сбербанк),SBER,База отдыха Ласточка,27.10.2012,,,,Завершена,"45,00","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,4.2012,,,28.11.2012,27.10.2012,Услуги / торговля,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.421583,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_non_trade_day_next_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2012-10-27,,2012-11-28,2012-10-27,1.0,2012-10-29,2012-10-29T10:00:00+04:00,time_missing_non_trade_day_next_open,3.12.9,2026-03-29T18:04:43.370143+03:00,,174,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,База отдыха Ласточка,база отдыха ласточка,2012-10-27,,2012-11-28,2012-10-27,,,45.0,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Московский городской гольф-клуб,05.04.2012,02:12,,,Оформление,"10,00","71,95%",Покупка,Рыночная,Круговая,Внутренняя,,,4.2012,06.04.2012,06.04.2012,СМИ / Реклама / Спорт,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.421583,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2012-04-05,02:12,2012-04-06,2012-04-06,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.372771+03:00,,175,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Московский городской гольф-клуб,московский городской гольф клуб,2012-04-05,,2012-04-06,2012-04-06,02:12,,10.0,71.95,Оформление,Покупка,Рыночная,Круговая
Сбер (Сбербанк),SBER,Volksbank,08.09.2011,13:40,15.02.2012,19:37,Завершена,"656,50","100,00%",Полное приобретение,Рыночная,Горизонтальная,Импортная,2.2012,,,27.02.2012,27.02.2012,Финансы / Инвестиции / Страхование / Консалтинг,Австрия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.466405,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-09-08,13:40,2012-02-27,2012-02-27,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.375071+03:00,2012-02-15,176,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Volksbank,volksbank,2011-09-08,2012-02-15,2012-02-27,2012-02-27,13:40,19:37,656.5,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Sberbank CIB (Тройка Диалог),20.01.2012,,23.01.2012,09:52,Завершена,"1 000,00","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,1.2012,,,20.01.2012,20.01.2012,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.845573,,2.639931,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2012-01-20,,2012-01-20,2012-01-20,0.0,2012-01-20,2012-01-20T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.378507+03:00,2012-01-23,177,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Sberbank CIB (Тройка Диалог),sberbank cib тройка диалог,2012-01-20,2012-01-23,2012-01-20,2012-01-20,,09:52,1000.0,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
Сбер (Сбербанк),SBER,Альянс Лайф,17.10.2011,16:58,30.01.2012,,Завершена,"0,12","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,1.2012,,,12.01.2012,12.01.2012,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.845573,,2.639931,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-10-17,16:58,2012-01-12,2012-01-12,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.383052+03:00,2012-01-30,178,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Альянс Лайф,альянс лайф,2011-10-17,2012-01-30,2012-01-12,2012-01-12,16:58,,0.12,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
Росбанк,ROSB,Агентство по возврату долгов (АВД),29.12.2011,,29.12.2011,18:36,Завершена,н. д.,"100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,12.2011,,,01.12.2011,01.12.2011,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Россия, Франция",3.161345,,2.795984,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,ROSB,РОСБАНК,TQBR,3fccb7cc-787b-450d-8799-c3c92c1cb76d,BBG000PND2J2,0,2011-12-29,,2011-12-01,2011-12-01,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.387208+03:00,2011-12-29,179,Росбанк,росбанк,ROSB,ROSB,Агентство по возврату долгов (АВД),агентство по возврату долгов авд,2011-12-29,2011-12-29,2011-12-01,2011-12-01,,18:36,,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
Росбанк,ROSB,Телсиком,03.11.2011,,09.12.2011,17:00,Завершена,н. д.,"100,00%",Полное приобретение,Квазиприватизационная,Круговая,Внутренняя,12.2011,,,01.12.2011,01.12.2011,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Россия, Франция",3.161345,,2.795984,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,ROSB,РОСБАНК,TQBR,3fccb7cc-787b-450d-8799-c3c92c1cb76d,BBG000PND2J2,0,2011-11-03,,2011-12-01,2011-12-01,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.388098+03:00,2011-12-09,180,Росбанк,росбанк,ROSB,ROSB,Телсиком,телсиком,2011-11-03,2011-12-09,2011-12-01,2011-12-01,,17:00,,100.0,Завершена,Полное приобретение,Квазиприватизационная,Круговая
Сбер (Сбербанк),SBER,SLB Commercial Bank,30.11.2011,10:41,23.12.2011,15:21,Завершена,"80,62","99,15%",Поглощение,Рыночная,Горизонтальная,Импортная,12.2011,,,01.12.2011,01.12.2011,Финансы / Инвестиции / Страхование / Консалтинг,Швейцария,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.447619,,2.466405,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-11-30,10:41,2011-12-01,2011-12-01,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.388838+03:00,2011-12-23,181,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,SLB Commercial Bank,slb commercial bank,2011-11-30,2011-12-23,2011-12-01,2011-12-01,10:41,15:21,80.62,99.15,Завершена,Поглощение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Интеко,07.09.2011,00:25,07.12.2011,19:05,Завершена,"60,00","5,00%",Участие,Рыночная,Круговая,Внутренняя,12.2011,,,01.12.2011,01.12.2011,Строительство,"Россия (СЗФО, ЦФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.447619,,2.466405,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-09-07,00:25,2011-12-01,2011-12-01,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.391330+03:00,2011-12-07,182,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Интеко,интеко,2011-09-07,2011-12-07,2011-12-01,2011-12-01,00:25,19:05,60.0,5.0,Завершена,Участие,Рыночная,Круговая
Сбер (Сбербанк),SBER,Курганнефтепродукт,01.12.2011,,,,Завершена,н. д.,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,12.2011,,,01.12.2011,01.12.2011,Нефть / Газ / Уголь,"Россия (ЮФО, УФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.447619,,2.466405,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-12-01,,2011-12-01,2011-12-01,0.0,2011-12-01,2011-12-01T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.393572+03:00,,183,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Курганнефтепродукт,курганнефтепродукт,2011-12-01,,2011-12-01,2011-12-01,,,,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Таганрогский мазутный терминал,09.11.2010,12:50,,,Завершена,"46,16","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,12.2011,,,01.12.2011,01.12.2011,Транспорт,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.447619,,2.466405,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2010-11-09,12:50,2011-12-01,2011-12-01,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.398708+03:00,,184,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Таганрогский мазутный терминал,таганрогский мазутный терминал,2010-11-09,,2011-12-01,2011-12-01,12:50,,46.16,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Химкомбинат Сода-Хлорат,08.10.2010,00:00,03.12.2011,00:00,Завершена,н. д.,"50,98%",Покупка,Рыночная,Круговая,Внутренняя,12.2011,,,01.12.2011,01.12.2011,Химия / Фармацевтика,Россия (ПФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.447619,,2.466405,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2010-10-08,00:00,2011-12-01,2011-12-01,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.402785+03:00,2011-12-03,185,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Химкомбинат Сода-Хлорат,химкомбинат сода хлорат,2010-10-08,2011-12-03,2011-12-01,2011-12-01,00:00,00:00,,50.98,Завершена,Покупка,Рыночная,Круговая
Сбер (Сбербанк),SBER,Мосстройвозрождение,15.11.2011,,24.11.2011,14:27,Завершена,"0,03","50,00%",Партнерство,Приватизационная,Круговая,Внутренняя,11.2011,,11.2011,15.11.2011,15.11.2011,Машиностроение,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,2.845573,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-11-15,,2011-11-15,2011-11-15,0.0,2011-11-15,2011-11-15T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.406384+03:00,2011-11-24,186,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Мосстройвозрождение,мосстройвозрождение,2011-11-15,2011-11-24,2011-11-15,2011-11-15,,14:27,0.03,50.0,Завершена,Партнерство,Приватизационная,Круговая
Сбер (Сбербанк),SBER,Павловскгранит,30.09.2011,,30.06.2011,10:53,Завершена,"36,66","36,30%",Влияние,Рыночная,Круговая,Внутренняя,9.2011,,,30.09.2011,30.09.2011,Строительство,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-09-30,,2011-09-30,2011-09-30,0.0,2011-09-30,2011-09-30T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.408509+03:00,2011-06-30,187,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Павловскгранит,павловскгранит,2011-09-30,2011-06-30,2011-09-30,2011-09-30,,10:53,36.66,36.3,Завершена,Влияние,Рыночная,Круговая
Сбер (Сбербанк),SBER,Премиум Спиритс,02.08.2011,,,,Завершена,"9,40","75,00%",Поглощение,Рыночная,Круговая,Внутренняя,8.2011,,,02.08.2011,02.08.2011,Пищевая промышленность,Россия (СЗФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-08-02,,2011-08-02,2011-08-02,0.0,2011-08-02,2011-08-02T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.410886+03:00,,188,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Премиум Спиритс,премиум спиритс,2011-08-02,,2011-08-02,2011-08-02,,,9.4,75.0,Завершена,Поглощение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Спортлото,14.05.2011,,13.05.2011,19:17,Завершена,"4,00","25,10%",Консолидация,Рыночная,Вертикальная,Внутренняя,5.2011,,,14.05.2011,14.05.2011,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_non_trade_day_next_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2011-05-14,,2011-05-14,2011-05-14,1.0,2011-05-16,2011-05-16T10:00:00+04:00,time_missing_non_trade_day_next_open,3.12.9,2026-03-29T18:04:43.416339+03:00,2011-05-13,189,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Спортлото,спортлото,2011-05-14,2011-05-13,2011-05-14,2011-05-14,,19:17,4.0,25.1,Завершена,Консолидация,Рыночная,Вертикальная
Промсвязьбанк (ПСБ),PSBR,Касса 24,07.03.2011,,22.03.2011,11:52,Завершена,н. д.,"51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,3.2011,,,07.03.2011,07.03.2011,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2011-03-07,,2011-03-07,2011-03-07,,,,,3.12.9,2026-03-29T18:04:43.420845+03:00,2011-03-22,190,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,Касса 24,касса 24,2011-03-07,2011-03-22,2011-03-07,2011-03-07,,11:52,,51.0,Завершена,Покупка,Рыночная,Вертикальная
