source_row_excel,Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Дата создания,DAYS_CREATE_TO_ANNOUNCEMENT,CAR_ANN_1_1,CAR_CREATE_1_1,CAR_ANN_3_3,CAR_CREATE_3_3,CAR_ANN_5_5,CAR_CREATE_5_5,CAR_ANN_10_10,CAR_CREATE_10_10,BHAR_ANN_60,BHAR_CREATE_60,BHAR_ANN_120,BHAR_CREATE_120,BHAR_ANN_250,BHAR_CREATE_250,RUNUP_PRE_30_5,CAR_PRE_ANNOUNCEMENT,DIFF_CREATE_MINUS_ANN_1_1,DIFF_CREATE_MINUS_ANN_3_3,DIFF_CREATE_MINUS_ANN_5_5,DIFF_CREATE_MINUS_ANN_10_10,DIFF_BHAR_CREATE_MINUS_ANN_120
45,Сбер (Сбербанк),SBER,Ниармедик,15.11.2021,15.11.2021,0,-0.0523035094267643,-0.0523035094267643,-0.0579745176754011,-0.0579745176754011,-0.1496912439695926,-0.1496912439695926,-0.1352121368831116,-0.1352121368831116,,,,,,,0.0549849558264028,0.0252309721103795,0.0,0.0,0.0,0.0,
46,ПАО Совкомбанк,SVCB,Finex Investment Management,24.01.2022,24.01.2022,0,,,,,,,,,,,,,,,,,,,,,
47,ПАО Совкомбанк,SVCB,FinEx London,24.01.2022,24.01.2022,0,,,,,,,,,,,,,,,,,,,,,
48,Сбер (Сбербанк),SBER,Jivo (ООО Живой сайт),07.06.2021,08.06.2021,-1,0.0048680810935388,0.016236999594128,0.0097639762118866,-0.0025318378688127,0.0146178115991927,0.0091784184435576,0.0245894935948073,0.0326967796944971,,,,,,,0.0618115101454294,0.0636587205733452,0.011368918500589199,-0.0122958140806993,-0.005439393155635101,0.0081072860996898,
49,Сбер (Сбербанк),SBER,Gosu Data Lab.,28.04.2021,08.06.2021,-41,0.0069489966722987,0.016236999594128,0.0307886879455078,-0.0025318378688127,0.0833737437553537,0.0091784184435576,0.0690038687443651,0.0326967796944971,,,,,,,-0.0152043690402865,0.0170662356119628,0.009288002921829299,-0.0333205258143205,-0.0741953253117961,-0.03630708904986799,
50,Сбер (Сбербанк),SBER,InSales,14.04.2021,14.04.2021,0,0.0073274982971766,0.0073274982971766,0.0150726718596707,0.0150726718596707,0.0227791682905873,0.0227791682905873,0.0167208930947818,0.0167208930947818,,,,,,,0.0324328779590654,0.0463406434189866,0.0,0.0,0.0,0.0,
51,Яндекс,YDEX,Яндекс Банк (Банк Акрополь),29.04.2021,29.04.2021,0,0.0469654316755416,0.0469654316755416,0.0815806632152267,0.0815806632152267,0.0422652058005105,0.0422652058005105,0.00111692477436,0.00111692477436,,,,,,,-0.07069509580465,-0.0332501127178512,0.0,0.0,0.0,0.0,
52,ПАО Совкомбанк,SVCB,ГК Национальная факторинговая компания (НФК),13.05.2021,14.05.2021,-1,,,,,,,,,,,,,,,,,,,,,
53,Сбер (Сбербанк),SBER,АМК Фарма,29.06.2021,29.06.2021,0,-0.0172506279132728,-0.0172506279132728,-0.0115660759592074,-0.0115660759592074,-0.0173499457858706,-0.0173499457858706,-0.0364319691310607,-0.0364319691310607,,,,,,,0.0237418748279242,0.0241438034573979,0.0,0.0,0.0,0.0,
54,Сбер (Сбербанк),SBER,Регионы Финанс,29.06.2021,29.06.2021,0,-0.0172506279132728,-0.0172506279132728,-0.0115660759592074,-0.0115660759592074,-0.0173499457858706,-0.0173499457858706,-0.0364319691310607,-0.0364319691310607,,,,,,,0.0237418748279242,0.0241438034573979,0.0,0.0,0.0,0.0,
55,ПАО Совкомбанк,SVCB,Септем Капитал / Yango. Доходчивые вложения,29.06.2021,29.06.2021,0,,,,,,,,,,,,,,,,,,,,,
56,ПАО Совкомбанк,SVCB,Управляющая компания (УК) Восточный Капитал,29.06.2021,29.06.2021,0,,,,,,,,,,,,,,,,,,,,,
57,OZON.ru,OZON,ОНЕЙ БАНК,13.04.2021,13.04.2021,0,0.0299106920583415,0.0299106920583415,0.0524680702246143,0.0524680702246143,0.0410509606009835,0.0410509606009835,0.2021219604469905,0.2021219604469905,,,,,,,0.0657203499107624,0.1245830823010364,0.0,0.0,0.0,0.0,
58,Сбер (Сбербанк),SBER,GOODS.RU (Маркетплейс),28.01.2021,02.03.2021,-33,-0.0370763905362097,0.0325308153867933,-0.0011641409087363,0.0215147720545858,-0.0364736526451507,0.0419055127206436,-0.0648270777217475,0.0432607019453852,,,,,,,-0.024834734153875,-0.0571047889244653,0.06960720592300301,0.022678912963322098,0.0783791653657943,0.1080877796671327,
59,Сбер (Сбербанк),SBER,Movika,08.06.2021,08.06.2021,0,0.016236999594128,0.016236999594128,-0.0025318378688127,-0.0025318378688127,0.0091784184435576,0.0091784184435576,0.0326967796944971,0.0326967796944971,,,,,,,0.0635931481313588,0.0742902366588267,0.0,0.0,0.0,0.0,
60,Яндекс,YDEX,еКредит,09.04.2021,08.06.2021,-60,-0.0054367579139763,0.0196745178398215,-0.0485767319425608,0.0160981826594625,-0.0434819724518796,0.0096762414914171,-0.0271086314076333,0.0239489925871982,,,,,,,0.0133644777552801,0.0037482131513554,0.0251112757537978,0.06467491460202329,0.0531582139432967,0.0510576239948315,
61,Яндекс,YDEX,Чаевые просто,27.04.2021,27.04.2021,0,0.0570824453224483,0.0570824453224483,0.0685608796820361,0.0685608796820361,0.0509218039352048,0.0509218039352048,-0.0425618936873104,-0.0425618936873104,,,,,,,-0.0643965649398135,-0.0609076737954001,0.0,0.0,0.0,0.0,
62,ПАО Совкомбанк,SVCB,Банк Восточный (Восточный экспресс банк),26.03.2021,26.03.2021,0,,,,,,,,,,,,,,,,,,,,,
63,ПАО Совкомбанк,SVCB,СПБ Биржа (Санкт-Петербургская биржа),23.03.2020,08.06.2021,-442,,,,,,,,,,,,,,,,,,,,,
64,Т-банк (Тинькофф),T,Кошелек / CardsMobile (ООО Бесконтакт),29.04.2021,29.04.2021,0,-0.02755648838793,-0.02755648838793,-0.005986744141837,-0.005986744141837,0.0654550466238066,0.0654550466238066,0.0610645485744856,0.0610645485744856,,,,,,,0.0067853078388272,0.0029688040938801,0.0,0.0,0.0,0.0,
65,Сбер (Сбербанк),SBER,АО Электрозавод,28.12.2020,11.05.2021,-134,0.0134826379496986,-0.0461199836982874,0.0491011655291606,-0.0088400841913709,0.014475312748205,0.0257545796286945,0.0049951182562241,0.0492820232041548,,,,,,,0.0851352451125805,0.1262220798001919,-0.05960262164798601,-0.057941249720531496,0.011279266880489499,0.0442869049479307,
66,Альфа-банк,ACBR,нетмонет,15.02.2021,06.04.2021,-50,,,,,,,,,,,,,,,,,,,,,
67,Сбер (Сбербанк),SBER,Еаптека,22.10.2020,22.11.2020,-31,0.0242686450683363,0.0289852231725518,0.0335140129207359,0.0207281824144858,-0.0146590137892242,0.0418770526931078,0.0358577695079723,0.2429872621912668,,,,,,,-0.0608385264989356,-0.027851037195205,0.0047165781042155,-0.012785830506250099,0.056536066482332,0.2071294926832945,
68,Сбер (Сбербанк),SBER,Ё-инжиниринг,03.03.2021,03.03.2021,0,0.0202711971369435,0.0202711971369435,0.0351907524593924,0.0351907524593924,0.046263128591841,0.046263128591841,0.0469434648712454,0.0469434648712454,,,,,,,-0.0237713378305831,0.0111704956776733,0.0,0.0,0.0,0.0,
69,Wildberries,,Банк Стандарт-Кредит,11.12.2020,13.01.2021,-33,,,,,,,,,,,,,,,,,,,,,
70,ПАО Совкомбанк,SVCB,Страхования компания МетЛайф,02.12.2020,04.12.2020,-2,,,,,,,,,,,,,,,,,,,,,
71,Сбер (Сбербанк),SBER,Ситилинк,11.01.2021,12.01.2021,-1,0.0495559215917211,0.0060094842340087,0.0303778379842178,0.0120346552066747,0.0311170052451245,0.0233909584854367,0.0110952327328198,0.0002312265964204,,,,,,,0.1020890455602837,0.1423461952679978,-0.043546437357712395,-0.0183431827775431,-0.007726046759687799,-0.0108640061363994,
72,Сбер (Сбербанк),SBER,Эвотор,23.12.2020,23.12.2020,0,0.0352158477672785,0.0352158477672785,-0.0123424636389375,-0.0123424636389375,-0.0179252995431522,-0.0179252995431522,0.0501748616254436,0.0501748616254436,,,,,,,0.1631518696203898,0.1073999013304219,0.0,0.0,0.0,0.0,
73,ПАО Совкомбанк,SVCB,Евразийский банк (Россия),04.12.2020,04.12.2020,0,,,,,,,,,,,,,,,,,,,,,
74,Сбер (Сбербанк),SBER,Rambler,30.10.2020,30.10.2020,0,-0.0059433732937098,-0.0059433732937098,0.0285564373369195,0.0285564373369195,0.0983186567648247,0.0983186567648247,0.204200604603804,0.204200604603804,,,,,,,-0.0726943947024487,-0.1184596912658417,0.0,0.0,0.0,0.0,
75,Сбер (Сбербанк),SBER,Евроцемент групп,29.10.2020,29.10.2020,0,-0.0332518686584176,-0.0332518686584176,-0.0187098064540215,-0.0187098064540215,0.0369785558077908,0.0369785558077908,0.1485474908209345,0.1485474908209345,,,,,,,-0.0951165365048174,-0.1150708771399806,0.0,0.0,0.0,0.0,
76,ПАО Совкомбанк,SVCB,Сеть постаматов ЦТБ,12.10.2020,12.10.2020,0,,,,,,,,,,,,,,,,,,,,,
77,Сбер (Сбербанк),SBER,Звук / Zvooq,24.09.2020,24.09.2020,0,0.0023903885154185,0.0023903885154185,-0.0176929554164658,-0.0176929554164658,-0.0103182343891078,-0.0103182343891078,-0.0386067354559567,-0.0386067354559567,,,,,,,-0.0383138982738417,-0.0560254612868617,0.0,0.0,0.0,0.0,
78,Яндекс,YDEX,Т-банк (Тинькофф),22.09.2020,24.09.2020,-2,0.0927158958670389,0.0825068513464758,0.0545949089070704,0.1088786277829172,0.0838312899376174,0.0694864223391706,0.0055378533488038,0.0185840749458211,,,,,,,0.1153961325008329,0.0731447969424711,-0.010209044520563107,0.05428371887584679,-0.014344867598446803,0.0130462215970173,
