source_row_excel,buyer_ticker,buyer_company,deal_object,event_name,release_date,release_time,is_off_market_release,anchor_trade_date,anchor_timestamp_msk,trade_day_offset,timestamp_msk,price_at_timestamp_rub,volume_during_timestamp_plus_15m_mn_rub
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T19:00:00+03:00,280.43,265.74763194999997
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T19:15:00+03:00,280.36,226.00920607499998
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T19:30:00+03:00,280.93,214.2554713
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T19:45:00+03:00,281.76,137.1027825
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T20:00:00+03:00,280.98,70.15569010000002
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T20:15:00+03:00,280.86,117.09994069999999
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T20:30:00+03:00,280.46,162.047920125
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T20:45:00+03:00,280.57,269.71936475
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T21:00:00+03:00,279.86,413.33293890000004
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T21:15:00+03:00,278.74,463.7864911499999
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T21:30:00+03:00,278.62,130.379715
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T21:45:00+03:00,278.06,285.6923752
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T22:00:00+03:00,277.11,185.82274125
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T22:15:00+03:00,278.03,200.45683160000002
