Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts
Сбер (Сбербанк),SBER,Еаптека,22.10.2020,19:33,10.02.2021,,Завершена,"77,20","45,00%",Влияние,Рыночная,Круговая,Внутренняя,2.2021,,10.202,11.02.2021,22.11.2020,Химия / Фармацевтика,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.653301,,3.584771,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-10-22,19:33,2021-02-11,2020-11-22,0,2020-10-22,2020-10-22T19:30:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.232440+03:00
Сбер (Сбербанк),SBER,Ё-инжиниринг,03.03.2021,,16.02.2021,15:09,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,2.2021,,,16.02.2021,03.03.2021,Машиностроение,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.653301,,3.584771,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-03-03,,2021-02-16,2021-03-03,0,2021-03-03,2021-03-03T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.234641+03:00
Wildberries,,Банк Стандарт-Кредит,11.12.2020,00:20,12.02.2021,12:21,Завершена,"4,90","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,2.2021,12.202,,12.02.2021,13.01.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Услуги / торговля,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,,,,,,0,2020-12-11,00:20,2021-02-12,2021-01-13,,,,,3.12.9,2026-03-22T00:38:56.236927+03:00
ПАО Совкомбанк,SVCB,Страхования компания МетЛайф,02.12.2020,13:38,19.01.2021,,Завершена,"52,40","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,1.2021,,12.202,04.01.2021,04.12.2020,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2020-12-02,13:38,2021-01-04,2020-12-04,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.239599+03:00
Сбер (Сбербанк),SBER,Ситилинк,11.01.2021,11:59,05.05.2021,,Переговоры,"1 000,00","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,,12.202,,11.01.2021,12.01.2021,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.535438,,3.878058,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-01-11,11:59,2021-01-11,2021-01-12,0,2021-01-11,2021-01-11T11:45:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.242098+03:00
Сбер (Сбербанк),SBER,Эвотор,23.12.2020,,23.12.2020,09:54,Завершена,"27,87","29,00%",Консолидация,Рыночная,Круговая,Внутренняя,12.202,,,23.12.2020,23.12.2020,Машиностроение,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.535438,,3.878058,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-12-23,,2020-12-23,2020-12-23,0,2020-12-23,2020-12-23T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.245161+03:00
ПАО Совкомбанк,SVCB,Евразийский банк (Россия),04.12.2020,11:34,31.12.2020,15:46,Завершена,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Импортная,12.202,,,04.12.2020,04.12.2020,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2020-12-04,11:34,2020-12-04,2020-12-04,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.247578+03:00
Сбер (Сбербанк),SBER,Rambler,30.10.2020,,29.10.2020,21:21,Завершена,"137,00","45,00%",Консолидация,Рыночная,Круговая,Внутренняя,10.202,,,30.10.2020,30.10.2020,СМИ / Реклама / Спорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.094141,,2.714557,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-10-30,,2020-10-30,2020-10-30,0,2020-10-30,2020-10-30T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.249257+03:00
Сбер (Сбербанк),SBER,Евроцемент групп,29.10.2020,,29.10.2020,18:31,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,10.202,,,01.10.2020,29.10.2020,Строительство,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.094141,,2.714557,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-10-29,,2020-10-01,2020-10-29,0,2020-10-29,2020-10-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.251297+03:00
ПАО Совкомбанк,SVCB,Сеть постаматов ЦТБ,12.10.2020,09:07,,,Оформление,,"50,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,,,10.202,12.10.2020,12.10.2020,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2020-10-12,09:07,2020-10-12,2020-10-12,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.253301+03:00
Сбер (Сбербанк),SBER,Звук / Zvooq,24.09.2020,,23.09.2020,13:58,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,9.202,,,24.09.2020,24.09.2020,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.996874,,2.875348,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-09-24,,2020-09-24,2020-09-24,0,2020-09-24,2020-09-24T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.256025+03:00
Яндекс,YDEX,Т-банк (Тинькофф),22.09.2020,19:50,16.10.2020,13:27,Отменена,"5 480,00","100,00%",Слияние активов,Рыночная,Вертикальная,Внутренняя,,9.202,,19.10.2020,24.09.2020,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2020-09-22,19:50,2020-10-19,2020-09-24,0,2020-09-22,2020-09-22T19:45:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.259618+03:00
Сбер (Сбербанк),SBER,2ГИС,11.06.2020,08:00,20.08.2020,15:08,Завершена,"140,60","72,00%",Покупка,Рыночная,Круговая,Внутренняя,8.202,8.2019,6.202,20.08.2020,22.08.2019,Телекоммуникации,"Россия (ЦФО, СФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.866897,,3.070052,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_before_open_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-06-11,08:00,2020-08-20,2019-08-22,1,2020-06-11,2020-06-11T09:45:00+03:00,release_before_open_same_day_open,3.12.9,2026-03-22T00:38:56.262414+03:00
Сбер (Сбербанк),SBER,Rambler,29.07.2020,,29.07.2020,13:18,Завершена,"27,80","8,45%",Консолидация,Рыночная,Вертикальная,Внутренняя,8.202,,7.202,29.07.2020,29.07.2020,СМИ / Реклама / Спорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.866897,,3.070052,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-07-29,,2020-07-29,2020-07-29,0,2020-07-29,2020-07-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.264461+03:00
Сбер (Сбербанк),SBER,Яндекс. Деньги,02.06.2020,17:54,22.07.2020,06:39,Завершена,"35,54","25,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,7.202,,6.202,22.07.2020,29.06.2020,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.925174,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-06-02,17:54,2020-07-22,2020-06-29,0,2020-06-02,2020-06-02T17:45:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.266516+03:00
Сбер (Сбербанк),SBER,OZON.ru,04.06.2020,17:42,12.11.2020,17:17,Отменена,"208,20","30,00%",Влияние,Рыночная,Круговая,Внутренняя,,6.202,,12.11.2020,05.06.2020,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.686261,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-06-04,17:42,2020-11-12,2020-06-05,0,2020-06-04,2020-06-04T17:30:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.268566+03:00
Сбер (Сбербанк),SBER,Rambler,14.06.2020,,,,Отменена,"18,50","5,00%",Консолидация,Рыночная,Круговая,Внутренняя,,6.202,,30.10.2020,14.06.2020,СМИ / Реклама / Спорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.686261,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_non_trade_day_next_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-06-14,,2020-10-30,2020-06-14,1,2020-06-15,2020-06-15T09:45:00+03:00,time_missing_non_trade_day_next_open,3.12.9,2026-03-22T00:38:56.270582+03:00
Сбер (Сбербанк),SBER,ESforce Holdings,19.02.2020,17:39,,,Переговоры,,"51,00%",Покупка,Рыночная,Круговая,Внутренняя,,2.202,,20.02.2020,20.02.2020,СМИ / Реклама / Спорт,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.118097,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-02-19,17:39,2020-02-20,2020-02-20,0,2020-02-19,2020-02-19T17:30:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.273653+03:00
ПАО Совкомбанк,SVCB,Либерти Страхование,26.12.2019,,10.02.2020,11:00,Завершена,"17,00","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,2.202,,12.2019,07.02.2020,26.12.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-26,,2020-02-07,2019-12-26,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.276839+03:00
ПАО Совкомбанк,SVCB,Вкабанк,11.12.2019,,06.11.2020,16:15,Оформление,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,,12.2019,11.12.2019,11.12.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-11,,2019-12-11,2019-12-11,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.278920+03:00
ПАО Совкомбанк,SVCB,Волго-Каспийский акционерный банк (ВКА-банк),05.12.2019,,25.03.2020,17:08,Завершена,"14,20","91,00%",Консолидация,Рыночная,Горизонтальная,Внутренняя,12.2019,,,02.12.2019,05.12.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-05,,2019-12-02,2019-12-05,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.280701+03:00
ПАО Совкомбанк,SVCB,Септем Капитал / Yango. Доходчивые вложения,11.12.2019,,04.12.2019,20:48,Завершена,,"50,10%",Покупка,Рыночная,Вертикальная,Внутренняя,12.2019,,,02.12.2019,11.12.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-11,,2019-12-02,2019-12-11,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.282482+03:00
ПАО Совкомбанк,SVCB,Соллерс-Финанс,24.12.2019,,24.12.2019,16:16,Завершена,"19,30","50,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,12.2019,,,05.03.2020,24.12.2019,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-24,,2020-03-05,2019-12-24,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.284138+03:00
Т-банк (Тинькофф),T,CloudPayments,13.10.2017,,22.05.2019,,Завершена,"0,82","5,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,8.2019,,,29.08.2019,13.10.2017,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2017-10-13,,2019-08-29,2017-10-13,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.285900+03:00
Сбер (Сбербанк),SBER,Shiptor,30.07.2019,,30.07.2019,18:03,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,7.2019,,,30.07.2019,30.07.2019,Транспорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.566448,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2019-07-30,,2019-07-30,2019-07-30,0,2019-07-30,2019-07-30T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.287920+03:00
Сбер (Сбербанк),SBER,PayZakat,11.06.2019,15:20,,,Оформление,,"25,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,,,6.2019,11.06.2019,11.06.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.489693,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2019-06-11,15:20,2019-06-11,2019-06-11,0,2019-06-11,2019-06-11T15:15:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.290869+03:00
Сбер (Сбербанк),SBER,rabota.ru,01.04.2019,17:46,04.06.2019,12:32,Завершена,"15,27","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,6.2019,,4.2019,07.06.2019,02.04.2019,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.489693,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2019-04-01,17:46,2019-06-07,2019-04-02,0,2019-04-01,2019-04-01T17:45:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.293305+03:00
Т-банк (Тинькофф),T,CloudPayments,13.10.2017,,12.10.2017,21:17,Завершена,"2,86","35,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,6.2019,,5.2019,01.08.2019,13.10.2017,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2017-10-13,,2019-08-01,2017-10-13,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.295373+03:00
Сбер (Сбербанк),SBER,Антипинский НПЗ,23.05.2019,,22.05.2019,20:29,Завершена,"1 750,00","80,00%",Поглощение,Рыночная,Круговая,Внутренняя,5.2019,,,23.05.2019,23.05.2019,Нефть / Газ / Уголь,Россия (УФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.324893,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2019-05-23,,2019-05-23,2019-05-23,0,2019-05-23,2019-05-23T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.297009+03:00
Сбер (Сбербанк),SBER,Fortenova Group (Agrokor),05.07.2018,,02.04.2019,14:37,Завершена,"1 287,00","40,00%",Влияние,Рыночная,Круговая,Импортная,4.2019,,7.2018,02.04.2019,05.07.2018,Услуги / торговля,Хорватия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.137733,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2018-07-05,,2019-04-02,2018-07-05,0,2018-07-05,2018-07-05T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.298939+03:00
Яндекс,YDEX,Scan to buy,08.04.2019,,08.04.2019,11:38,Оформление,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,,,4.2019,08.04.2019,08.04.2019,Телекоммуникации,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2019-04-08,,2019-04-08,2019-04-08,0,2019-04-08,2019-04-08T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.300915+03:00
ПАО Совкомбанк,SVCB,Авиационные технологии связи (АТС),10.04.2019,,01.04.2019,,Завершена,,"25,00%",Участие,Рыночная,Круговая,Внутренняя,4.2019,,,10.04.2019,10.04.2019,Телекоммуникации,"Россия (ЦФО, ПФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-04-10,,2019-04-10,2019-04-10,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.302848+03:00
Сбер (Сбербанк),SBER,Эй Кей Ресторантс Раша,04.03.2019,,04.03.2019,17:33,Завершена,,"9,99%",Участие,Рыночная,Круговая,Внутренняя,2.2019,,,04.03.2019,04.03.2019,Пищевая промышленность,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.675617,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2019-03-04,,2019-03-04,2019-03-04,0,2019-03-04,2019-03-04T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.305435+03:00
Сбер (Сбербанк),SBER,Intercomp,30.10.2013,,27.11.2018,17:30,Завершена,"22,41—25,40","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,11.2018,,9.2018,28.11.2018,30.10.2013,Услуги / торговля,"Казахстан, Россия, США, Украина",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.117538,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2013-10-30,,2018-11-28,2013-10-30,0,2013-10-30,2013-10-30T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.308605+03:00
ПАО Совкомбанк,SVCB,Росевробанк,13.03.2018,,20.04.2018,15:54,Завершена,,"16,66%",Консолидация,Рыночная,Горизонтальная,Внутренняя,8.2018,,,03.08.2018,03.08.2018,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2018-03-13,,2018-08-03,2018-08-03,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.311499+03:00
ПАО Совкомбанк,SVCB,Fintender.ru,19.12.2018,,,,Завершена,,"25,00%",Консолидация,Рыночная,Горизонтальная,Внутренняя,7.2018,,,19.12.2018,19.12.2018,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2018-12-19,,2018-12-19,2018-12-19,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.313588+03:00
ПАО Совкомбанк,SVCB,Современный коммерческий ипотечный банк (СКИБ) (ICICI Bank Eurasia Limited Liability Company (IBEL)),19.12.2018,,07.08.2018,,Завершена,,"45,00%",Консолидация,Рыночная,Горизонтальная,Внутренняя,7.2018,,,19.12.2018,19.12.2018,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2018-12-19,,2018-12-19,2018-12-19,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.315365+03:00
